series,regime,n_months,mean_monthly,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,hit_rate
top10,risk_on,28,0.393390,4.720680,1.376501,3.429478,3.247376,5.773763,-0.817609,0.892857
top10,neutral,51,0.188533,2.262401,1.016363,2.225979,1.596321,1.078329,-2.098062,0.862745
top10,risk_off,28,0.166132,1.993586,5.593906,0.356385,0.577360,0.233367,-8.542709,0.714286
top20,risk_on,28,0.405009,4.860112,1.595397,3.046333,4.515123,6.387274,-0.760905,0.857143
top20,neutral,51,0.171892,2.062704,0.979909,2.104995,1.526787,1.049031,-1.966295,0.862745
top20,risk_off,28,0.132479,1.589746,1.860324,0.854554,1.642852,0.834258,-1.905580,0.714286
top30,risk_on,28,0.393560,4.722725,1.738003,2.717328,3.138809,4.485461,-1.052896,0.857143
top30,neutral,51,0.167279,2.007352,1.040486,1.929245,1.527156,1.005474,-1.996425,0.843137
top30,risk_off,28,0.126075,1.512898,1.324260,1.142448,2.218056,1.578486,-0.958449,0.714286
benchmark,risk_on,28,0.480373,5.764479,5.408855,1.065749,1.279076,1.283149,-4.492448,0.642857
benchmark,neutral,51,0.294993,3.539915,6.080471,0.582178,0.723762,0.300502,-11.780021,0.666667
benchmark,risk_off,28,0.513809,6.165712,9.801005,0.629090,1.261916,0.532618,-11.576230,0.571429
